City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
209,Fomboni,KM,-12.28,43.7425,75.6,72,0,12.86,clear sky,2022-09-08 03:13:45
210,Bowen,AU,-20.0167,148.2333,73.29,65,2,11.45,clear sky,2022-09-08 03:13:46
211,Dauriya,RU,49.9333,116.8667,67.87,37,12,6.35,few clouds,2022-09-08 03:13:46
212,Teguise,ES,29.0605,-13.564,68.22,83,0,14.97,clear sky,2022-09-08 03:13:46
213,Yulara,AU,-25.2406,130.9889,68.97,25,0,14.81,clear sky,2022-09-08 03:13:46
214,Verkhnetulomskiy,RU,68.6073,31.7962,41.13,76,100,4.29,overcast clouds,2022-09-08 03:13:47
215,Alto Araguaia,BR,-17.3147,-53.2153,73.69,31,19,5.53,few clouds,2022-09-08 03:13:47
216,Santa Rosa,PH,14.3122,121.1114,91.09,63,34,2.48,scattered clouds,2022-09-08 03:13:47
217,Gamboma,CG,-1.8764,15.8644,74.34,86,97,3.36,overcast clouds,2022-09-08 03:13:47
218,Ispravnaya,RU,44.0682,41.6102,41.86,65,0,6.06,clear sky,2022-09-08 03:13:48
219,Qaanaaq,GL,77.484,-69.3632,28.89,80,61,3.67,broken clouds,2022-09-08 03:13:48
220,Treinta Y Tres,UY,-33.2333,-54.3833,58.64,84,2,5.91,clear sky,2022-09-08 03:12:29
221,Bengkulu,ID,-3.8004,102.2655,81.27,66,100,0.92,overcast clouds,2022-09-08 03:13:48
222,Eurajoki,FI,61.2,21.7333,32.02,85,22,4.65,few clouds,2022-09-08 03:13:48
223,Borsa,RO,47.6553,24.6633,53.22,94,36,1.81,scattered clouds,2022-09-08 03:13:49
224,Oranjestad,AW,12.524,-70.027,84.15,84,20,11.5,few clouds,2022-09-08 03:13:49
225,Agua Verde,MX,22.9,-106.05,80.69,82,100,3.98,overcast clouds,2022-09-08 03:13:49
226,Tateyama,JP,34.9833,139.8667,82.09,76,62,17.98,broken clouds,2022-09-08 03:14:49
227,Samarkand,UZ,39.6542,66.9597,69.22,49,0,13.8,clear sky,2022-09-08 03:14:50
228,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.35,64,75,13.8,broken clouds,2022-09-08 03:14:07
229,Rio Claro,BR,-22.4114,-47.5614,68.5,71,50,6.15,scattered clouds,2022-09-08 03:11:31
230,Yellowknife,CA,62.456,-114.3525,48.72,76,75,10.36,broken clouds,2022-09-08 03:13:33
231,Hanko,FI,59.8333,22.95,38.14,67,39,13.42,scattered clouds,2022-09-08 03:14:50
232,Zyryanka,RU,65.75,150.85,64.85,46,68,28.1,broken clouds,2022-09-08 03:14:50
233,Issia,CI,6.4922,-6.5856,67.84,100,43,2.42,scattered clouds,2022-09-08 03:14:51
234,Hami,CN,42.8,93.45,88.95,8,0,6.96,clear sky,2022-09-08 03:14:51
235,Tumen,CN,42.9661,129.8425,78.01,48,0,4.16,clear sky,2022-09-08 03:14:51
236,Menongue,AO,-14.6585,17.691,57.63,31,0,4.65,clear sky,2022-09-08 03:14:51
237,Longyearbyen,SJ,78.2186,15.6401,40.84,87,75,8.05,broken clouds,2022-09-08 03:14:52
238,Panaba,MX,21.2833,-88.2667,77.32,86,64,4.88,broken clouds,2022-09-08 03:14:52
239,Kahului,US,20.8947,-156.47,86.02,67,20,26.46,few clouds,2022-09-08 03:14:52
240,Narsaq,GL,60.9167,-46.05,44.82,80,94,3.15,overcast clouds,2022-09-08 03:14:52
241,Iqaluit,CA,63.7506,-68.5145,42.53,86,100,15.01,light rain,2022-09-08 03:14:53
242,Mana,GF,5.6592,-53.7767,77.63,90,9,10.33,clear sky,2022-09-08 03:14:53
243,Umea,SE,63.8284,20.2597,37.9,100,0,3.44,clear sky,2022-09-08 03:14:53
244,Arrecife,ES,28.963,-13.5477,71.58,83,0,14.97,clear sky,2022-09-08 03:14:53
245,Coihaique,CL,-45.5752,-72.0662,35.55,87,75,5.75,broken clouds,2022-09-08 03:14:54
246,Olafsvik,IS,64.8945,-23.7142,52.92,77,31,5.77,scattered clouds,2022-09-08 03:14:54
247,Clyde River,CA,70.4692,-68.5914,35.83,100,100,16.11,overcast clouds,2022-09-08 03:14:54
248,North Myrtle Beach,US,33.816,-78.68,75.22,97,40,3.0,scattered clouds,2022-09-08 03:14:06
249,Kurilsk,RU,45.2333,147.8833,64.58,69,77,7.54,broken clouds,2022-09-08 03:14:54
250,Honiara,SB,-9.4333,159.95,87.22,61,33,8.88,scattered clouds,2022-09-08 03:14:55
251,Tura,IN,25.5198,90.2201,84.22,74,94,0.83,overcast clouds,2022-09-08 03:10:06
252,Mitu,CO,1.1983,-70.1733,71.15,91,31,1.36,scattered clouds,2022-09-08 03:14:55
253,Nanortalik,GL,60.1432,-45.2371,43.09,93,36,4.16,scattered clouds,2022-09-08 03:14:55
254,Saint-Philippe,RE,-21.3585,55.7679,69.39,80,45,10.6,scattered clouds,2022-09-08 03:14:55
255,Elko,US,41.0002,-115.5012,83.64,17,66,7.0,broken clouds,2022-09-08 03:14:56
256,Constitucion,CL,-35.3333,-72.4167,46.98,83,94,7.0,overcast clouds,2022-09-08 03:14:56
257,Jiwani,PK,25.05,61.7417,78.87,77,26,3.87,scattered clouds,2022-09-08 03:14:56
258,Urucui,BR,-7.2294,-44.5561,77.22,39,71,5.93,broken clouds,2022-09-08 03:14:56
259,Rio Grande,BR,-32.035,-52.0986,53.94,89,41,4.99,scattered clouds,2022-09-08 03:14:57
